priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json,lesson_number
FCN-VP-00001,tlen,alternative spelling of tlein,pron,1,32,32,1,0.9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",23
FCN-VP-00002,huan,and,conj,2,24,24,1,0.9,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31]",23
FCN-VP-00004,tequitl,work,noun,10,16,16,1,0.9,"[10, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31]",23
FCN-VP-00005,īcā,,,4,14,14,0,0.4,"[4, 6, 7, 8, 9, 11, 12, 19, 22, 23, 27, 29, 31, 32]",23
FCN-VP-00007,which,,,4,13,13,0,0.4,"[4, 9, 15, 16, 18, 19, 20, 21, 22, 23, 26, 28, 30]",23
FCN-VP-00008,tlachīhualiztli,,,6,12,12,0,0.4,"[6, 12, 14, 15, 16, 17, 19, 23, 24, 25, 28, 31]",23
FCN-VP-00009,tlamanēxtilli,,,12,12,12,0,0.4,"[12, 13, 14, 15, 16, 17, 19, 20, 23, 24, 25, 32]",23
FCN-VP-00011,ōme,,,4,11,11,0,0.4,"[4, 6, 10, 18, 19, 20, 23, 27, 28, 29, 31]",23
FCN-VP-00017,ēyi,,,4,7,7,0,0.4,"[4, 10, 19, 23, 27, 28, 29]",23
FCN-VP-00022,cāmpa,,,19,7,7,0,0.4,"[19, 22, 23, 25, 26, 27, 31]",23
FCN-VP-00024,school,,,3,6,6,0,0.4,"[3, 6, 8, 12, 13, 23]",23
FCN-VP-00036,huēyi,,,4,4,4,0,0.4,"[4, 22, 23, 25]",23
FCN-VP-00044,pēhua,,,7,4,4,0,0.4,"[7, 23, 29, 31]",23
FCN-VP-00065,tlatōcaxtiliztli,,,3,3,3,0,0.4,"[3, 20, 23]",23
FCN-VP-00096,little,,,20,3,3,0,0.4,"[20, 21, 23]",23
FCN-VP-00145,motōcaxtilli,,,9,2,2,0,0.4,"[9, 23]",23
FCN-VP-00146,quipōz,,,9,2,2,0,0.4,"[9, 23]",23
FCN-VP-00148,īteco,,,9,2,2,0,0.4,"[9, 23]",23
FCN-VP-00163,mo-,,prefix,17,2,2,1,0.9,"[17, 23]",23
FCN-VP-00178,-huan,Used to form the plural of animate nouns in the possessive form.,suffix,20,2,2,1,0.9,"[20, 23]",23
FCN-VP-00199,attached,,,23,2,2,0,0.4,"[23, 26]",23
FCN-VP-00200,caltēnno,,,23,2,2,0,0.4,"[23, 31]",23
FCN-VP-00201,quēnnopa,,,23,2,2,0,0.4,"[23, 31]",23
FCN-VP-00202,tla-,Object prefix for verbs; it indicates that the object is non-human and indefinite.,prefix,23,2,2,1,0.9,"[23, 32]",23
FCN-VP-00203,tē-,,,23,2,2,0,0.4,"[23, 32]",23
FCN-VP-00204,īnacaztlan,,,23,2,2,0,0.4,"[23, 31]",23
FCN-VP-00823,-cuitlapan,,,23,1,1,0,0.4,[23],23
FCN-VP-00824,-cā,,,23,1,1,0,0.4,[23],23
FCN-VP-00825,-huanya,,,23,1,1,0,0.4,[23],23
FCN-VP-00826,-tech,,,23,1,1,0,0.4,[23],23
FCN-VP-00827,-tlah,in a place abundant in or abounding with.,suffix,23,1,1,1,0.9,[23],23
FCN-VP-00828,-tlan,"A locative suffix denoting adjacency or distance below: Under, around.",suffix,23,1,1,1,0.9,[23],23
FCN-VP-00829,-tzintlan,,,23,1,1,0,0.4,[23],23
FCN-VP-00830,-īxco,,,23,1,1,0,0.4,[23],23
FCN-VP-00831,-īxpan,,,23,1,1,0,0.4,[23],23
FCN-VP-00832,apachtitlan,,,23,1,1,0,0.4,[23],23
FCN-VP-00833,cacalīcān,,,23,1,1,0,0.4,[23],23
FCN-VP-00834,caltech,,,23,1,1,0,0.4,[23],23
FCN-VP-00835,calīxpan,,,23,1,1,0,0.4,[23],23
FCN-VP-00836,characterized,,,23,1,1,0,0.4,[23],23
FCN-VP-00837,chipohtlah,,,23,1,1,0,0.4,[23],23
FCN-VP-00838,cuatēnno,,,23,1,1,0,0.4,[23],23
FCN-VP-00839,directly,,,23,1,1,0,0.4,[23],23
FCN-VP-00840,huahca,then; at that time; next.,conj,23,1,1,1,0.9,[23],23
FCN-VP-00841,icxitlan,,,23,1,1,0,0.4,[23],23
FCN-VP-00842,inmo-,,,23,1,1,0,0.4,[23],23
FCN-VP-00843,mancohtitlah,,,23,1,1,0,0.4,[23],23
FCN-VP-00844,mancohtitlan,,,23,1,1,0,0.4,[23],23
FCN-VP-00845,mecohtitlan,,,23,1,1,0,0.4,[23],23
FCN-VP-00846,michoacān,,,23,1,1,0,0.4,[23],23
FCN-VP-00847,mīltēnno,,,23,1,1,0,0.4,[23],23
FCN-VP-00848,nacaztzintlan,,,23,1,1,0,0.4,[23],23
