lesson_number,locale,lesson_title,proficiency_band,vocab_count,dialogue_count,construction_count
1,en,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),A1,17,0,5
1,es,Tlamachtiliztli 1 Piltlahcuiloltzitzin (El alfabeto).,A1,23,0,0
2,en,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,A1,8,2,2
2,es,Tlamachtiliztli 2 Tlahtlaniliztli (Preguntas),A1,9,3,0
3,en,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),A1,53,8,32
3,es,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (¿Cómo te llamas?),A1,56,9,0
4,en,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),A2,50,2,28
4,es,Tlamachtiliztli 4 Īxnēzcayōtl huan tlapōhualiztli (Los colores y los números),A2,49,1,0
5,en,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),A2,36,8,21
5,es,Tlamachtiliztli 5 Cehcen inin tequiuh (Las profesiones),A2,35,9,0
6,en,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),B1,24,0,8
6,es,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Los verbos intransitivos),B1,27,0,0
7,en,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),B1,58,0,24
7,es,Tlamachtiliztli 7 Quēn moxeloa tōnatiuh (Cómo se divide el día),B1,59,0,0
8,en,Tlamachtiliztli 8 Noyōllo (Possessive markers),B1,38,0,21
8,es,Tlamachtiliztli 8 Noyōllo (Marcadores posesivos),B1,41,1,0
9,en,Tlamachtiliztli 9 Tēiīxmatcacuahuitl (The Family),B1,41,0,27
9,es,Tlamachtiliztli 9 Tēīxmatcacuahuitl (La familia),B1,38,0,0
10,en,Tlamachtiliztli 10 Notlachiyaliz (My Appearance),B1,38,4,28
10,es,Tlamachtiliztli 10 Notlachiyaliz (Mi apariencia),B1,36,5,0
11,en,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell),A1,43,19,20
11,es,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (Cuando se saluda y se despide),A1,46,12,0
12,en,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Future tense and indefinite verbs),A1,39,0,17
12,es,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Verbos en tiempo futuro e indefinido),A1,45,0,0
13,en,Tlamachtiliztli 13 Tlachīhualiztli tlen quimānēxtia ācquiya quīchihua cē tlamantli (Verbs with specific object),A1,43,0,19
13,es,Tlamachtiliztli 13 Tlachīhualiztli tlen quimanēxtia ācquiya quichīhua cē tlamantli (Verbos con objetos específicos),A1,42,0,0
14,en,Tlamachtiliztli 14 Tlachīhualiztli tlen panoc Part 1 (Past Tense Verbs Part 1),A2,6,0,3
14,es,Tlamachtiliztli 14 Tlachīhualiztli tlen panoc. Parte 1 (Verbos en tiempo pretérito Parte 1),A2,11,0,0
15,en,"Tlamachtiliztli 15 Tlachīhualiztli tlen panoc, Part 2 (Past Tense Verbs Part 2)",A2,54,0,51
15,es,Tlamachtiliztli 15 Tlachīhualiztli tlen panoc. Parte 2 (Verbos en tiempo pretérito Parte 2),A2,59,0,0
16,en,Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Part 3 (Past Tense Verbs Part 3),B1,55,0,4
16,es,Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Parte 3 (Verbos en tiempo pretérito Parte 3),B1,61,0,0
