priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json,lesson_number
FCN-VP-00001,tlen,alternative spelling of tlein,pron,1,32,32,1,0.9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",10
FCN-VP-00002,huan,and,conj,2,24,24,1,0.9,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31]",10
FCN-VP-00004,tequitl,work,noun,10,16,16,1,0.9,"[10, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31]",10
FCN-VP-00011,ōme,,,4,11,11,0,0.4,"[4, 6, 10, 18, 19, 20, 23, 27, 28, 29, 31]",10
FCN-VP-00014,tlamānēxtilli,,,1,8,8,0,0.4,"[1, 3, 6, 7, 8, 9, 10, 12]",10
FCN-VP-00016,quēniuhqui,,,3,7,7,0,0.4,"[3, 8, 9, 10, 18, 19, 31]",10
FCN-VP-00017,ēyi,,,4,7,7,0,0.4,"[4, 10, 19, 23, 27, 28, 29]",10
FCN-VP-00021,each,,,10,7,7,0,0.4,"[10, 11, 13, 17, 21, 27, 29]",10
FCN-VP-00046,tlahtolli,Word; speech; language.,noun,8,4,4,1,0.9,"[8, 10, 19, 32]",10
FCN-VP-00077,achi,small.,adv,8,3,3,1,0.9,"[8, 10, 22]",10
FCN-VP-00113,tzictic,,,4,2,2,0,0.4,"[4, 10]",10
FCN-VP-00115,xōchitl,,,4,2,2,0,0.4,"[4, 10]",10
FCN-VP-00117,īīxnēzca,,,4,2,2,0,0.4,"[4, 10]",10
FCN-VP-00139,pāmeh,,,8,2,2,0,0.4,"[8, 10]",10
FCN-VP-00149,chicometepetl,,,10,2,2,0,0.4,"[10, 16]",10
FCN-VP-00150,chīchīltic,,,10,2,2,0,0.4,"[10, 29]",10
FCN-VP-00151,huahcapantic,,,10,2,2,0,0.4,"[10, 22]",10
FCN-VP-00369,chocoxtic,,,10,1,1,0,0.4,[10],10
FCN-VP-00370,echcapantzin,,,10,1,1,0,0.4,[10],10
FCN-VP-00371,huehueyac,long.,adj,10,1,1,1,0.9,[10],10
FCN-VP-00372,motlachiyaliz,,,10,1,1,0,0.4,[10],10
FCN-VP-00373,niechcapantzin,,,10,1,1,0,0.4,[10],10
FCN-VP-00374,nihuahcapantic,,,10,1,1,0,0.4,[10],10
FCN-VP-00375,nitomāhuac,,,10,1,1,0,0.4,[10],10
FCN-VP-00376,noīxnēzca,,,10,1,1,0,0.4,[10],10
FCN-VP-00377,noīxtiyōl,,,10,1,1,0,0.4,[10],10
FCN-VP-00378,totlachiyaliz,,,10,1,1,0,0.4,[10],10
FCN-VP-00379,tzoncal,,,10,1,1,0,0.4,[10],10
FCN-VP-00380,xiquiihtoa,,,10,1,1,0,0.4,[10],10
FCN-VP-00381,xochitl,flower,noun,10,1,1,1,0.9,[10],10
FCN-VP-00382,xochitl’s,,,10,1,1,0,0.4,[10],10
FCN-VP-00383,yancuīc,,,10,1,1,0,0.4,[10],10
FCN-VP-00384,yayahuīc,,,10,1,1,0,0.4,[10],10
FCN-VP-00385,ītlachiyaliz,,,10,1,1,0,0.4,[10],10
FCN-VP-00386,ītzoncal,,,10,1,1,0,0.4,[10],10
FCN-VP-00387,īxtiyol,,,10,1,1,0,0.4,[10],10
FCN-VP-00388,īxtiyōl,,,10,1,1,0,0.4,[10],10
FCN-VP-00389,īīxtiyōl,,,10,1,1,0,0.4,[10],10
