source_file,source_locator,headword_candidate
simeon_1885_ocr_raw.txt,block-3,OM THE
simeon_1885_ocr_raw.txt,block-8,MISSION SCIENTIFIQUE
simeon_1885_ocr_raw.txt,block-9,AU MEXIQUE
simeon_1885_ocr_raw.txt,block-14,DICTIONNAIRE
simeon_1885_ocr_raw.txt,block-15,DE
simeon_1885_ocr_raw.txt,block-16,LA LANGUE NAHUATL
simeon_1885_ocr_raw.txt,block-18,RÉDIGÉ
simeon_1885_ocr_raw.txt,block-21,PAR
simeon_1885_ocr_raw.txt,block-28,TA IMEFTAT
simeon_1885_ocr_raw.txt,block-563,XL
simeon_1885_ocr_raw.txt,block-571,IMPÉRATIF
simeon_1885_ocr_raw.txt,block-672,XLIII
simeon_1885_ocr_raw.txt,block-740,ALVII
simeon_1885_ocr_raw.txt,block-794,XLVIIT
simeon_1885_ocr_raw.txt,block-996,- LY
simeon_1885_ocr_raw.txt,block-1219,LXIX
simeon_1885_ocr_raw.txt,block-1228,LXX
simeon_1885_ocr_raw.txt,block-1262,LXXII
simeon_1885_ocr_raw.txt,block-1361,DICTIONNAIRE DE LA LANGUE NAHUATL
simeon_1885_ocr_raw.txt,block-1763,DE
simeon_1885_ocr_raw.txt,block-2047,OALTEPETLAT -
simeon_1885_ocr_raw.txt,block-2118,LA
simeon_1885_ocr_raw.txt,block-3206,AG
simeon_1885_ocr_raw.txt,block-3856,OCAUALLOTZOTZO-
simeon_1885_ocr_raw.txt,block-3945,MOEENSE
simeon_1885_ocr_raw.txt,block-4703,OCHICAUACATLAGO-
simeon_1885_ocr_raw.txt,block-4942,OCHICOTLAMA
simeon_1885_ocr_raw.txt,block-5101,DE
simeon_1885_ocr_raw.txt,block-5213,OCHOQUIZTLA-
simeon_1885_ocr_raw.txt,block-5594,DE
simeon_1885_ocr_raw.txt,block-6430,GUITLAUILTIA
simeon_1885_ocr_raw.txt,block-7228,MU
simeon_1885_ocr_raw.txt,block-7336,OYAOTLATQUICHI-
simeon_1885_ocr_raw.txt,block-7371,OYAUALIUHCATLAMTI
simeon_1885_ocr_raw.txt,block-9082,OITZOTZOLIUHGACUIC
simeon_1885_ocr_raw.txt,block-9935,OIXTOMAUACACHIUH
simeon_1885_ocr_raw.txt,block-9954,OIXTOTOMAUATINEN
simeon_1885_ocr_raw.txt,block-12248,PA
simeon_1885_ocr_raw.txt,block-13808,SN
simeon_1885_ocr_raw.txt,block-14357,MORENRSE
simeon_1885_ocr_raw.txt,block-14855,LA
simeon_1885_ocr_raw.txt,block-16004,OPOPOZ-
simeon_1885_ocr_raw.txt,block-16197,ESA
simeon_1885_ocr_raw.txt,block-16381,NOR
simeon_1885_ocr_raw.txt,block-16743,DE
simeon_1885_ocr_raw.txt,block-18820,TEMACHTICA-
simeon_1885_ocr_raw.txt,block-18847,AS
simeon_1885_ocr_raw.txt,block-20105,AG
simeon_1885_ocr_raw.txt,block-20397,OTEPUZMATLACHIUH
simeon_1885_ocr_raw.txt,block-20607,TE
simeon_1885_ocr_raw.txt,block-21028,F-
simeon_1885_ocr_raw.txt,block-21533,AT
simeon_1885_ocr_raw.txt,block-23061,DICTIONNAIRE DE
simeon_1885_ocr_raw.txt,block-26724,IMPRIMERIE NATIONALE
simeon_1885_ocr_raw.txt,block-27619,DD EE
simeon_1885_ocr_raw.txt,block-27878,OTLATZACUILLOI-
simeon_1885_ocr_raw.txt,block-28252,OTLAUELIXNAMICTI-
simeon_1885_ocr_raw.txt,block-28569,IMPRIMENIE NATIONALE
simeon_1885_ocr_raw.txt,block-28885,OTLEQUIQUIZTLAL-
simeon_1885_ocr_raw.txt,block-28953,IMPRIMERIE NATIONALE
simeon_1885_ocr_raw.txt,block-29300,OTONALQUAUHUATZ
simeon_1885_ocr_raw.txt,block-29756,OTZETZELIUHTIMANCA
simeon_1885_ocr_raw.txt,block-31174,MO
