entry_id,project_name,source_file,source_reference,lemma_display,ehn_spoken_form,msn_headword,msn_poetic_form,classical_citation_form,part_of_speech,register,register_suggestion,variety,gloss_en,gloss_es,root_family,source_confidence,speaker_validation_status,editorial_status,forms_json,etymology,parser,notes_internal,notes_public
kw::on::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::on::sense-1,on,,on,,on,pron,,Classical_citation,Classical Nahuatl,that; those,,,high,unreviewed,imported_raw,"[{""form"":""on"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""},{""form"":""ōn"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::te::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::te::sense-1,te,,te,,te,pron,,Classical_citation,Classical Nahuatl,alternative spelling of teh,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::in::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::in::sense-1,in,,in,,in,article,,Classical_citation,Classical Nahuatl,the,,,high,unreviewed,imported_raw,"[{""form"":""in"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""},{""form"":""īn"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::in::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::in::sense-2,in,,in,,in,pron,,Classical_citation,Classical Nahuatl,this; these,,,high,unreviewed,imported_raw,"[{""form"":""in"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""},{""form"":""īn"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::in::3,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::in::sense-3,in,,in,,,article,,Needs_review,Central Nahuatl,the.,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::can::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::can::sense-1,can,,can,,can,pron,,Classical_citation,Classical Nahuatl,where,,,high,unreviewed,imported_raw,"[{""form"":""cān"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""},{""form"":""cānin"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::i::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::i::sense-1,i,,i,,i,verb,,Classical_citation,Classical Nahuatl,to drink,,,high,unreviewed,imported_raw,"[{""form"":""ī"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::austria::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::austria::sense-1,Austria,,Austria,,Austria,name,,Classical_citation,Classical Nahuatl,Austria (a country in Central Europe),,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::austria::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::austria::sense-2,Austria,,Austria,,,name,,Needs_review,Central Nahuatl,Austria (a country in Central Europe),,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::austria::3,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::austria::sense-3,Austria,,Austria,,,name,,Needs_review,Central Huasteca Nahuatl,Austria (a country in Central Europe),,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::cuba::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cuba::sense-1,Cuba,,Cuba,,Cuba,name,,Classical_citation,Classical Nahuatl,"Cuba (a country, the largest island (based on land area) in the Caribbean)",,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::cuba::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cuba::sense-2,Cuba,,Cuba,,,name,,Needs_review,Central Nahuatl,"Cuba (a country, the largest island (based on land area) in the Caribbean)",,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::peru::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::peru::sense-1,Peru,,Peru,,Peru,name,,Classical_citation,Classical Nahuatl,Peru (a country in South America),,,high,unreviewed,imported_raw,"[{""form"":""Pelon"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""},{""form"":""piru"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""},{""form"":""Pirũ"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::peru::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::peru::sense-2,Peru,,Peru,,,name,,Needs_review,Central Nahuatl,Peru (a country in South America),,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::portugal::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::portugal::sense-1,Portugal,,Portugal,,Portugal,name,,Classical_citation,Classical Nahuatl,"Portugal (a country in Southern Europe, on the Iberian Peninsula)",,,high,unreviewed,imported_raw,[],"Borrowed from Spanish Portugal, from Latin Portus Cale, former name of what is now the city of Vila Nova de Gaia.",kaikki_unified,,
