entry_id,headword,part_of_speech,variety,gloss_en,editorial_status,notes_internal
SM::000226,ACH,unknown,Classical Nahuatl,,Flagged,"definition_fr=particule marquant ordinairement le doute et quelquefois équivalant à une négation : ach aquin, je ne sais qui C’est; ach aye (Gar.), peut-être non en- core; ach can, campa ou canin (Car.), je ne sais où, ach ça ye nelh? est-ce possible? est-ce vrai? ach ça ye nelli yehuatl inin yecxayaque in yectlachielice catca? est-ce possible que ce soit [à cette personne qui était si belle, si fraiche? ach iuh ou iuhqui, presque ainsi, à peu près de cette manière : ach iuhqui itloc quica, se ressembler, paraitre semblables, en parlant de deux objets; ach quemman, on ne sait à quelle heure: auh quemman oc ceppa ti-Ulaquaz ? ach quemman, aço tel nepantla in tonatiuh (Car.), à quelle heure mangeras-tu de nouveau? je ne sais, sans doute à midi. Voy. Macu. | duplicate_candidate_key=ach|unknown|classical nahuatl|"
SM::000232,ACH,unknown,Classical Nahuatl,,Flagged,"definition_fr=CAMPA, CAN ou CANIN. Voy. Acu. | duplicate_candidate_key=ach|unknown|classical nahuatl|"
SM::000236,ACHCAUHTLI,unknown,Classical Nahuatl,,Flagged,"definition_fr=Ou ACHGAUTLI, 5. Grand-prêtre, doyen des prêtres, juge principal, suprême, com- nissaire, chef, aîné; chose principale, supérieure, excellente, etc.: tacheauhth (pour ti-achcauhtli), tu es principal. Plur. achcacauhtin (Olm.). En comp. | duplicate_candidate_key=achcauhtli|unknown|classical nahuatl|"
SM::000238,ACHCAUHTLI,unknown,Classical Nahuatl,,Flagged,"definition_fr=5. (Clav.). Ollicier de la milice; plur. achcauhtin; ces officiers composaient le premier ordre militaire, à la tête duquel étaient les Quachic- tin. — Nom d’un chef chichimèque (Clav.). | duplicate_candidate_key=achcauhtli|unknown|classical nahuatl|"
SM::000255,ACHI,unknown,Classical Nahuatl,,Flagged,definition_fr=YUHQUI. Voy. Acui. | duplicate_candidate_key=achi|unknown|classical nahuatl|
SM::000256,ACHI,unknown,Classical Nahuatl,,Flagged,definition_fr=IXQUICH. Voy. Acui. | duplicate_candidate_key=achi|unknown|classical nahuatl|
SM::000264,ACHI,unknown,Classical Nahuatl,,Flagged,definition_fr=QUIN. Voy. Acui. | duplicate_candidate_key=achi|unknown|classical nahuatl|
SM::000241,ACHIC,adverb,Classical Nahuatl,,Flagged,"definition_fr=servant à marquer la différence qu'il ya entre les personnes ou les choses : achic in tehuatl ca olîte-micti, ca tic-tzaqua in motlatlacol, auh in nehuatl aic manel çan ce pinacatl onic-micti (Par.), pour toi tu es homicide, tu expies ton crime, mais moi je n'ai jamais tué même un insecte; tle ipampa in amo motla- tlacol? achic intla tixpopoyotl (Car.), comment n'est-ce pas ta faute? à la bonne heure si tu étais aveugle. | duplicate_candidate_key=achic|adverb|classical nahuatl|"
SM::000242,ACHIC,adverb,Classical Nahuatl,,Flagged,"definition_fr=de temps. Naguère, il n’y a pas long- temps, bientôt, dans peu, etc.; oc ximo-machtitinemu, oc achic æiqu-ihiyohui, oc tipiltontli, ac quin ye ücaxtol- æiuhtica, continue à étudier, patiente encore un peu, tu es encore jeune, à peine tu viens d’avoir quinze ans; oc cuel achic, bientôt, dans un moment; oc cuel achic itech nino-tzonchuiz, dans un tout petit instant je me vengerai de lui. Voy. Acuironca, Acmirzinca et Quix Acic. | duplicate_candidate_key=achic|adverb|classical nahuatl|"
SM::000272,ACHIUA,unknown,Classical Nahuatl,,Flagged,"definition_fr=p. oAcmiun : titla — faire une chose illi- cite, qui n’est pas permise. RR. a priv. chiua. | roots=a priv | duplicate_candidate_key=achiua|unknown|classical nahuatl|"
SM::000273,ACHIUA,unknown,Classical Nahuatl,,Flagged,"definition_fr=p. AGHIUH : # (pour ni) — faire du ca- cao, préparer une boisson. RR. at/, chiua. | duplicate_candidate_key=achiua|unknown|classical nahuatl|"
SM::000781,AMI,unknown,Classical Nahuatl,,Flagged,definition_fr=Voy. An. | duplicate_candidate_key=ami|unknown|classical nahuatl|
SM::000782,AMI,unknown,Classical Nahuatl,,Flagged,definition_fr=plur. AMIQUE. Voy. Queumacu. | duplicate_candidate_key=ami|unknown|classical nahuatl|
SM::000834,AMO,unknown,Classical Nahuatl,,Flagged,definition_fr=MA. Voy. Ano. | duplicate_candidate_key=amo|unknown|classical nahuatl|
SM::000843,AMO,unknown,Classical Nahuatl,,Flagged,definition_fr=TENAQUILLANI. Voy. TENAQUILLANI. | duplicate_candidate_key=amo|unknown|classical nahuatl|
SM::000844,AMO,unknown,Classical Nahuatl,,Flagged,"definition_fr=TENAQUILMA, Voy. TeNAquILMA. | duplicate_candidate_key=amo|unknown|classical nahuatl|"
SM::000912,ANCA,unknown,Classical Nahuatl,,Flagged,"definition_fr=(Olm.), employé avec le poss. à: yanca, son égal ou ce qui est joint à une autre chose. | duplicate_candidate_key=anca|unknown|classical nahuatl|"
SM::000914,ANCA,unknown,Classical Nahuatl,,Flagged,"definition_fr=con]. De manière que, de sorte que, donc. Sert pour conclure : anca amo mic-chiuaz (Olm.), de manière que Je ne le ferai pas; anca in (lalticpac necuiltonolli netlamachtilli, anca çan nenquizcayotl anca atle itech uetziz in toyollo in iz tlalticpac, anca can yuhquin cochitleualli temictli ipan tic-matizque in ilalticpac ic pacoa (Car.), donc les biens de la terre ne sont que vanité, donc nous ne devons pas nous attacher aux choses de ce monde, done nous devons considérer comme des songes les plaisirs de ce monde; anca ye huel yehua in otim-ixiti (Car.), de sorte qu'il y a un bon moment que tu es éveillé. | duplicate_candidate_key=anca|unknown|classical nahuatl|"
SM::000939,ANEL,unknown,Classical Nahuatl,,Flagged,"definition_fr=con]. De sorte que; on dit, ils disent. | duplicate_candidate_key=anel|unknown|classical nahuatl|"
SM::000940,ANEL,unknown,Classical Nahuatl,,Flagged,definition_fr=Voy. EL. | duplicate_candidate_key=anel|unknown|classical nahuatl|
SM::001213,ATEL,unknown,Classical Nahuatl,,Flagged,definition_fr=Voy. EL. | duplicate_candidate_key=atel|unknown|classical nahuatl|
SM::001214,ATEL,unknown,Classical Nahuatl,,Flagged,"definition_fr=con]. Mais, et avec la forme interrogative, n'est-il pas évident? atel tiqu-ittaz, mais tu le verras; atel mochi in quimo-tzacuiltitia inic omictiloc? (Par.), n'est-il pas évident qu'il a payé toutes ses fautes par la mort qu'on lui a donnée? | duplicate_candidate_key=atel|unknown|classical nahuatl|"
