entry_id,source_form,source_register,source_variety,gloss_en,source_note,candidate_msn_headword,candidate_search_key,search_fallbacks_json,rule_trace
kw::abril::2,abril,EHN_colloquial,Eastern Huasteca Nahuatl,April,rule_based_from_source_form,abril,abril,"[""abril""]",identity
kw::acahya::1,acahya,EHN_colloquial,Eastern Huasteca Nahuatl,companion.,rule_based_from_source_form,akahya,akahya,"[""acahya"", ""acaya"", ""akahya"", ""akaya""]",hard c > k
kw::acatl::4,acatl,EHN_colloquial,Eastern Huasteca Nahuatl,obsolete spelling of akatl,explicit_gloss_target,akatl,akatl,"[""acatl"", ""akatl""]",gloss target: akatl
kw::achakalin::1,achakalin,EHN_colloquial,Eastern Huasteca Nahuatl,shrimp,rule_based_from_source_form,achakalin,achakalin,"[""achakalin"", ""acakalin"", ""achacalin""]",identity
kw::achi::3,achi,EHN_colloquial,Eastern Huasteca Nahuatl,a little.,rule_based_from_source_form,achi,achi,"[""achi"", ""aci""]",identity
kw::achtihuiehquetl::1,achtihuiehquetl,EHN_colloquial,Eastern Huasteca Nahuatl,The oldest son or daughter.,rule_based_from_source_form,achtiwiehketl,achtiwiehketl,"[""achtihuiehquetl"", ""actiuiequetl"", ""achtiwiehketl"", ""actiwieketl"", ""achtihuiehcetl""]",hu> w before vowel; qu > k before front vowel
kw::achtohui::1,achtohui,EHN_colloquial,Eastern Huasteca Nahuatl,first.,rule_based_from_source_form,achtowi,achtowi,"[""achtohui"", ""actoui"", ""achtowi"", ""actowi""]",hu> w before vowel
kw::achtohui::2,achtohui,EHN_colloquial,Eastern Huasteca Nahuatl,before.,rule_based_from_source_form,achtowi,achtowi,"[""achtohui"", ""actoui"", ""achtowi"", ""actowi""]",hu> w before vowel
kw::agosto::1,agosto,EHN_colloquial,Eastern Huasteca Nahuatl,August,rule_based_from_source_form,agosto,agosto,"[""agosto""]",identity
kw::ahacatl::1,ahacatl,EHN_colloquial,Eastern Huasteca Nahuatl,wind.,rule_based_from_source_form,ahakatl,ahakatl,"[""ahacatl"", ""aacatl"", ""ahakatl"", ""aakatl""]",hard c > k
kw::ahacatl::2,ahacatl,EHN_colloquial,Eastern Huasteca Nahuatl,divide.,rule_based_from_source_form,ahakatl,ahakatl,"[""ahacatl"", ""aacatl"", ""ahakatl"", ""aakatl""]",hard c > k
kw::ahahuilli::2,ahahuilli,EHN_colloquial,Eastern Huasteca Nahuatl,obsolete spelling of ahawilli,explicit_gloss_target,ahawilli,ahawilli,"[""ahahuilli"", ""aauilli"", ""ahawilli"", ""aawilli""]",gloss target: ahawilli
kw::ahakatl::1,ahakatl,EHN_colloquial,Eastern Huasteca Nahuatl,wind,rule_based_from_source_form,ahakatl,ahakatl,"[""ahakatl"", ""aakatl"", ""ahacatl""]",identity
kw::ahqueya::1,ahqueya,EHN_colloquial,Eastern Huasteca Nahuatl,who?,rule_based_from_source_form,ahkeya,ahkeya,"[""ahqueya"", ""aqueya"", ""ahkeya"", ""akeya"", ""ahceya""]",qu > k before front vowel
kw::ahqui::1,ahqui,EHN_colloquial,Eastern Huasteca Nahuatl,to swim.,rule_based_from_source_form,ahki,ahki,"[""ahqui"", ""aqui"", ""ahki"", ""aki"", ""ahci""]",qu > k before front vowel
kw::ahsi::2,ahsi,EHN_colloquial,Eastern Huasteca Nahuatl,to arrive.,rule_based_from_source_form,ahsi,ahsi,"[""ahsi"", ""asi""]",identity
kw::ahuacacuahuitl::3,ahuacacuahuitl,EHN_colloquial,Eastern Huasteca Nahuatl,avocado tree.,rule_based_from_source_form,awakakuawitl,awakakuawitl,"[""ahuacacuahuitl"", ""auacacuauitl"", ""awakakuawitl""]",hu> w before vowel; hard c > k
kw::ahuacatl::5,ahuacatl,EHN_colloquial,Eastern Huasteca Nahuatl,obsolete spelling of awakatl,explicit_gloss_target,awakatl,awakatl,"[""ahuacatl"", ""auacatl"", ""awakatl""]",gloss target: awakatl
kw::ahuiyac::1,ahuiyac,EHN_colloquial,Eastern Huasteca Nahuatl,obsolete spelling of awiyak,explicit_gloss_target,awiyak,awiyak,"[""ahuiyac"", ""auiyac"", ""awiyak""]",gloss target: awiyak
kw::akachikiwitl::1,akachikiwitl,EHN_colloquial,Eastern Huasteca Nahuatl,basquet cane,rule_based_from_source_form,akachikiwitl,akachikiwitl,"[""akachikiwitl"", ""akacikiwitl"", ""acachicihuitl""]",identity
kw::aketzpalin::1,aketzpalin,EHN_colloquial,Eastern Huasteca Nahuatl,aligator,rule_based_from_source_form,aketspalin,aketspalin,"[""aketzpalin"", ""aketspalin"", ""acetzpalin""]",z > s
kw::alaxox::1,alaxox,EHN_colloquial,Eastern Huasteca Nahuatl,orange,rule_based_from_source_form,alaxox,alaxox,"[""alaxox""]",identity
kw::alaxoxtontli::1,alaxoxtontli,EHN_colloquial,Eastern Huasteca Nahuatl,mandarine,rule_based_from_source_form,alaxoxtontli,alaxoxtontli,"[""alaxoxtontli""]",identity
kw::altepetl::5,altepetl,EHN_colloquial,Eastern Huasteca Nahuatl,"altepetl, city, town.",rule_based_from_source_form,altepetl,altepetl,"[""altepetl""]",identity
kw::altepetlehquetl::1,altepetlehquetl,EHN_colloquial,Eastern Huasteca Nahuatl,"the inhabitant of an altepetl, town.",rule_based_from_source_form,altepetlehketl,altepetlehketl,"[""altepetlehquetl"", ""altepetlequetl"", ""altepetlehketl"", ""altepetleketl"", ""altepetlehcetl""]",qu > k before front vowel
kw::ama::1,ama,EHN_colloquial,Eastern Huasteca Nahuatl,now,rule_based_from_source_form,ama,ama,"[""ama""]",identity
kw::amacamanalli::1,amacamanalli,EHN_colloquial,Eastern Huasteca Nahuatl,map.,rule_based_from_source_form,amakamanalli,amakamanalli,"[""amacamanalli"", ""amakamanalli""]",hard c > k
