rank,list_name,entry_id,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
1,social_interaction,kw::axtle::1,safe,safe: core_everyday_domain,axtle,axtle,axtle,axtle,"no, negative response",,particle,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::axtle::sense-1,0.95,identity
2,social_interaction,kw::axtlen::1,safe,safe: core_everyday_domain,axtlen,axtlen,axtlen,axtlen,"think nothing of it, you're welcome, don't mention it",,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::axtlen::sense-1,0.95,identity
3,social_interaction,kw::quena::1,safe,safe: core_everyday_domain,quena,quena,kena,quena,"yes, positive response",,particle,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quena::sense-1,0.95,qu > k before front vowel
4,social_interaction,kw::pialli::1,safe,safe: core_everyday_domain,pialli,pialli,pialli,pialli,hello (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::pialli::sense-1,0.95,identity
5,social_interaction,kw::tonalti::1,safe,safe: core_everyday_domain,tonalti,tonalti,tonalti,tonalti,good morning (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tonalti::sense-1,0.95,identity
6,social_interaction,kw::quehatza-tiitztoc::1,safe,safe: core_everyday_domain,quehatza tiitztoc,quehatza tiitztoc,kehatsa tiitstok,quehatza tiitztoc,how are you?,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza tiitztoc::sense-1,0.95,qu > k before front vowel; z > s; hard c > k
7,social_interaction,kw::quehatza-tiya::1,safe,safe: core_everyday_domain,quehatza tiya,quehatza tiya,kehatsa tiya,quehatza tiya,how's it going?,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza tiya::sense-1,0.95,qu > k before front vowel; z > s
8,social_interaction,kw::tiotlaquilti::1,safe,safe: core_everyday_domain,tiotlaquilti,tiotlaquilti,tiotlakilti,tiotlaquilti,good afternoon (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tiotlaquilti::sense-1,0.95,qu > k before front vowel
9,social_interaction,kw::tlapoyahualti::1,safe,safe: core_everyday_domain,tlapoyahualti,tlapoyahualti,tlapoyawalti,tlapoyahualti,good night (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlapoyahualti::sense-1,0.95,hu> w before vowel
10,social_interaction,kw::tlazcamati::1,safe,safe: core_everyday_domain,tlazcamati,tlazcamati,tlaskamati,tlazcamati,thanks,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlazcamati::sense-1,0.95,z > s; hard c > k
11,social_interaction,kw::ax-aqui::1,safe,safe: core_everyday_domain,ax aqui,ax aqui,ax aki,ax aqui,nobody,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,148,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax aqui::sense-1,0.95,qu > k before front vowel
12,social_interaction,kw::ax-tleno::1,safe,safe: core_everyday_domain,ax tleno,ax tleno,ax tleno,ax tleno,you're welcome,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,143,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax tleno::sense-1,0.95,identity
13,social_interaction,kw::iaxca::2,safe,safe: core_everyday_domain,iaxca,iaxca,iaxka,iaxca,"of him, her, it",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::iaxca::sense-2,0.95,hard c > k
14,social_interaction,kw::ihuaya::1,safe,safe: core_everyday_domain,ihuaya,ihuaya,iwaya,ihuaya,"with him, her, it",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ihuaya::sense-1,0.95,hu> w before vowel
