rank,list_name,entry_id,attestation_status,phase7_status,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
1,core_ehn_500,kw::axtle::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,axtle,axtle,axtle,axtle,"no, negative response",,particle,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::axtle::sense-1,0.95,identity
2,core_ehn_500,kw::axtlen::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,axtlen,axtlen,axtlen,axtlen,"think nothing of it, you're welcome, don't mention it",,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::axtlen::sense-1,0.95,identity
3,core_ehn_500,kw::quena::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quena,quena,kena,quena,"yes, positive response",,particle,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quena::sense-1,0.95,qu > k before front vowel
4,core_ehn_500,kw::pialli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,pialli,pialli,pialli,pialli,hello (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::pialli::sense-1,0.95,identity
5,core_ehn_500,kw::tonalti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tonalti,tonalti,tonalti,tonalti,good morning (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tonalti::sense-1,0.95,identity
6,core_ehn_500,kw::quehatza-tiitztoc::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quehatza tiitztoc,quehatza tiitztoc,kehatsa tiitstok,quehatza tiitztoc,how are you?,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza tiitztoc::sense-1,0.95,qu > k before front vowel; z > s; hard c > k
7,core_ehn_500,kw::quehatza-tiya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quehatza tiya,quehatza tiya,kehatsa tiya,quehatza tiya,how's it going?,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza tiya::sense-1,0.95,qu > k before front vowel; z > s
8,core_ehn_500,kw::tiotlaquilti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tiotlaquilti,tiotlaquilti,tiotlakilti,tiotlaquilti,good afternoon (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tiotlaquilti::sense-1,0.95,qu > k before front vowel
9,core_ehn_500,kw::tlapoyahualti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlapoyahualti,tlapoyahualti,tlapoyawalti,tlapoyahualti,good night (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlapoyahualti::sense-1,0.95,hu> w before vowel
10,core_ehn_500,kw::tlazcamati::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlazcamati,tlazcamati,tlaskamati,tlazcamati,thanks,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlazcamati::sense-1,0.95,z > s; hard c > k
