rank,list_name,entry_id,attestation_status,phase7_status,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
1,core_verbs_100,kw::ahsi::2,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,ahsi,ahsi,ahsi,ahsi,to arrive,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ahsi::sense-2,0.95,identity
2,core_verbs_100,kw::aqui::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,aqui,aqui,aki,aqui,to be (negative),,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::aqui::sense-1,0.95,qu > k before front vowel
3,core_verbs_100,kw::eli::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,eli,eli,eli,eli,to be,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::eli::sense-1,0.95,identity
4,core_verbs_100,kw::eltoc::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,eltoc,eltoc,eltok,eltoc,to be,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::eltoc::sense-1,0.95,hard c > k
5,core_verbs_100,kw::ehua::3,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,ehua,ehua,ewa,ehua,to be from,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ehua::sense-3,0.95,hu> w before vowel
6,core_verbs_100,kw::itztoc::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,itztoc,itztoc,itstok,itztoc,to be,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::itztoc::sense-1,0.95,z > s; hard c > k
7,core_verbs_100,kw::camati::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,camati,camati,kamati,camati,to speak,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camati::sense-1,0.95,hard c > k
8,core_verbs_100,kw::cochi::3,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,cochi,cochi,kochi,cochi,to sleep,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cochi::sense-3,0.95,hard c > k
9,core_verbs_100,kw::piya::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,piya,piya,piya,piya,to have,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::piya::sense-1,0.95,identity
10,core_verbs_100,kw::xolotl::4,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,xolotl,xolotl,xolotl,xolotl,to be afraid,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::xolotl::sense-4,0.95,identity
11,core_verbs_100,kw::yahua::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,yahua,yahua,yawa,yahua,to go,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yahua::sense-1,0.95,hu> w before vowel
12,core_verbs_100,kw::atli::2,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,atli,atli,atli,atli,to drink water,,verb,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::atli::sense-2,0.95,identity
13,core_verbs_100,kw::camanalohua::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,camanalohua,camanalohua,kamanalowa,camanalohua,to speak,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camanalohua::sense-1,0.95,hu> w before vowel; hard c > k
14,core_verbs_100,kw::mitoniya::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,mitoniya,mitoniya,mitoniya,mitoniya,to sweat,,verb,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::mitoniya::sense-1,0.95,identity
15,core_verbs_100,kw::mococohua::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,mococohua,mococohua,mokokowa,mococohua,to be sick,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::mococohua::sense-1,0.95,hu> w before vowel; hard c > k
16,core_verbs_100,kw::tlahcuilohua::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,tlahcuilohua,tlahcuilohua,tlahkuilowa,tlahcuilohua,to write,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlahcuilohua::sense-1,0.95,hu> w before vowel; hard c > k
17,core_verbs_100,kw::tlahtohua::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,tlahtohua,tlahtohua,tlahtowa,tlahtohua,"to speak, talk",,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlahtohua::sense-1,0.95,hu> w before vowel
18,core_verbs_100,kw::tlacua::2,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,tlacua,tlacua,tlakua,tlacua,to eat,,verb,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlacua::sense-2,0.95,hard c > k
19,core_verbs_100,kw::tlamacht-a::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,tlamachtía,tlamachtía,tlamachtía,tlamachtía,to teach,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlamachtía::sense-1,0.95,identity
20,core_verbs_100,kw::tlatoniya::1,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,tlatoniya,tlatoniya,tlatoniya,tlatoniya,to be hot,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlatoniya::sense-1,0.95,identity
21,core_verbs_100,kw::tzompilihui::2,EHN_attested,attested_core_row,safe,safe: core_everyday_domain,tzompilihui,tzompilihui,tsompiliwi,tzompilihui,to have a cold,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tzompilihui::sense-2,0.95,hu> w before vowel; z > s
