rank,list_name,entry_id,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace,subgroup
1,function_words,kw::achtohui::2,safe,safe: core_everyday_domain,achtohui,achtohui,achtowi,achtohui,before,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::achtohui::sense-2,0.95,hu> w before vowel,adv
2,function_words,kw::ahqueya::1,safe,safe: core_everyday_domain,ahqueya,ahqueya,ahkeya,ahqueya,who?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ahqueya::sense-1,0.95,qu > k before front vowel,adv
3,function_words,kw::ama::1,safe,safe: core_everyday_domain,ama,ama,ama,ama,now,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ama::sense-1,0.95,identity,adv
4,function_words,kw::amantzi::1,safe,safe: core_everyday_domain,amantzi,amantzi,amantsi,amantzi,right now,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amantzi::sense-1,0.95,z > s,adv
5,function_words,kw::ax::1,safe,safe: core_everyday_domain,ax,ax,ax,ax,not,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax::sense-1,0.95,identity,adv
6,function_words,kw::aya::1,safe,safe: core_everyday_domain,aya,aya,aya,aya,not yet,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::aya::sense-1,0.95,identity,adv
7,function_words,kw::campa::4,safe,safe: core_everyday_domain,campa,campa,kampa,campa,where,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::campa::sense-4,0.95,hard c > k,adv
8,function_words,kw::canque::1,safe,safe: core_everyday_domain,canque,canque,kanke,canque,where,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::canque::sense-1,0.95,qu > k before front vowel; hard c > k,adv
9,function_words,kw::canque::2,safe,safe: core_everyday_domain,canque,canque,kanke,canque,"whither, to where",,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::canque::sense-2,0.95,qu > k before front vowel; hard c > k,adv
10,function_words,kw::queha::1,safe,safe: core_everyday_domain,queha,queha,keha,queha,how,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::queha::sense-1,0.95,qu > k before front vowel,adv
11,function_words,kw::quehatza::1,safe,safe: core_everyday_domain,quehatza,quehatza,kehatsa,quehatza,how,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza::sense-1,0.95,qu > k before front vowel; z > s,adv
12,function_words,kw::quentzi::1,safe,safe: core_everyday_domain,quentzi,quentzi,kentsi,quentzi,"little, not much",,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quentzi::sense-1,0.95,qu > k before front vowel; z > s,adv
13,function_words,kw::quezqui::1,safe,safe: core_everyday_domain,quezqui,quezqui,keski,quezqui,how much?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quezqui::sense-1,0.95,qu > k before front vowel; z > s,adv
14,function_words,kw::moztla::2,safe,safe: core_everyday_domain,moztla,moztla,mostla,moztla,tomorrow,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::moztla::sense-2,0.95,z > s,adv
15,function_words,kw::neca::1,safe,safe: core_everyday_domain,neca,neca,neka,neca,there,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::neca::sense-1,0.95,hard c > k,adv
16,function_words,kw::nepa::1,safe,safe: core_everyday_domain,nepa,nepa,nepa,nepa,there,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nepa::sense-1,0.95,identity,adv
17,function_words,kw::nica::1,safe,safe: core_everyday_domain,nica,nica,nika,nica,here,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nica::sense-1,0.95,hard c > k,adv
18,function_words,kw::nicani::1,safe,safe: core_everyday_domain,nicani,nicani,nikani,nicani,here,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nicani::sense-1,0.95,hard c > k,adv
19,function_words,kw::nopano::1,safe,safe: core_everyday_domain,nopano,nopano,nopano,nopano,there,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopano::sense-1,0.95,identity,adv
20,function_words,kw::tlen::2,safe,safe: core_everyday_domain,tlen,tlen,tlen,tlen,what,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlen::sense-2,0.95,identity,adv
21,function_words,kw::yalhuaya::1,safe,safe: core_everyday_domain,yalhuaya,yalhuaya,yalwaya,yalhuaya,yesterday,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yalhuaya::sense-1,0.95,hu> w before vowel,adv
22,function_words,kw::para-tlen::1,safe,safe: core_everyday_domain,para tlen,para tlen,para tlen,para tlen,why?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::para tlen::sense-1,0.95,identity,adv
23,function_words,kw::ax-quema::1,safe,safe: core_everyday_domain,ax quema,ax quema,ax kema,ax quema,never,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax quema::sense-1,0.95,qu > k before front vowel,adv
24,function_words,kw::eltoya::1,safe,safe: core_everyday_domain,eltoya,eltoya,eltoya,eltoya,very,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::eltoya::sense-1,0.95,identity,adv
25,function_words,kw::ihquino::1,safe,safe: core_everyday_domain,ihquino,ihquino,ihkino,ihquino,thus,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ihquino::sense-1,0.95,qu > k before front vowel,adv
26,function_words,kw::ica::1,safe,safe: core_everyday_domain,ica,ica,ika,ica,with,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ica::sense-1,0.95,hard c > k,adv
27,function_words,kw::queha-ni::1,safe,safe: core_everyday_domain,queha ni,queha ni,keha ni,queha ni,like this,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::queha ni::sense-1,0.95,qu > k before front vowel,adv
28,function_words,kw::quema::1,safe,safe: core_everyday_domain,quema,quema,kema,quema,when?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quema::sense-1,0.95,qu > k before front vowel,adv
29,function_words,kw::cualca::1,safe,safe: core_everyday_domain,cualca,cualca,kualka,cualca,early,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cualca::sense-1,0.95,hard c > k,adv
30,function_words,kw::cualli::4,safe,safe: core_everyday_domain,cualli,cualli,kualli,cualli,well,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cualli::sense-4,0.95,hard c > k,adv
31,function_words,kw::miac::1,safe,safe: core_everyday_domain,miac,miac,miak,miac,a lot,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::miac::sense-1,0.95,hard c > k,adv
32,function_words,kw::nechca::1,safe,safe: core_everyday_domain,nechca,nechca,nechka,nechca,close to,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nechca::sense-1,0.95,hard c > k,adv
33,function_words,kw::nel-a::1,safe,safe: core_everyday_domain,nelía,nelía,nelía,nelía,truly,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nelía::sense-1,0.95,identity,adv
34,function_words,kw::noha::1,safe,safe: core_everyday_domain,noha,noha,noha,noha,still,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::noha::sense-1,0.95,identity,adv
