priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json,lesson_number
FCN-VP-00001,tlen,alternative spelling of tlein,pron,1,32,32,1,0.9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",27
FCN-VP-00002,huan,and,conj,2,24,24,1,0.9,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31]",27
FCN-VP-00004,tequitl,work,noun,10,16,16,1,0.9,"[10, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31]",27
FCN-VP-00005,īcā,,,4,14,14,0,0.4,"[4, 6, 7, 8, 9, 11, 12, 19, 22, 23, 27, 29, 31, 32]",27
FCN-VP-00006,cequin,,,8,14,14,0,0.4,"[8, 9, 11, 17, 19, 21, 24, 25, 26, 27, 29, 30, 31, 32]",27
FCN-VP-00011,ōme,,,4,11,11,0,0.4,"[4, 6, 10, 18, 19, 20, 23, 27, 28, 29, 31]",27
FCN-VP-00015,chicontepec,"Chicontepec (the largest city in the state of Veracruz, Mexico)",name,3,7,7,1,0.9,"[3, 7, 11, 21, 22, 27, 32]",27
FCN-VP-00017,ēyi,,,4,7,7,0,0.4,"[4, 10, 19, 23, 27, 28, 29]",27
FCN-VP-00020,tlamantli,thing.,noun,8,7,7,1,0.9,"[8, 19, 21, 22, 27, 29, 31]",27
FCN-VP-00021,each,,,10,7,7,0,0.4,"[10, 11, 13, 17, 21, 27, 29]",27
FCN-VP-00022,cāmpa,,,19,7,7,0,0.4,"[19, 22, 23, 25, 26, 27, 31]",27
FCN-VP-00023,quipiya,,,3,6,6,0,0.4,"[3, 4, 20, 22, 27, 29]",27
FCN-VP-00026,nouhquiya,,,7,6,6,0,0.4,"[7, 19, 22, 27, 29, 31]",27
FCN-VP-00027,nicān,,,3,5,5,0,0.4,"[3, 22, 26, 27, 31]",27
FCN-VP-00033,cualtitoc,"fine, ok.",intj,3,4,4,1,0.9,"[3, 5, 19, 27]",27
FCN-VP-00035,chichiquilli,Harpoon.,noun,4,4,4,1,0.9,"[4, 18, 24, 27]",27
FCN-VP-00037,quezqui,how much?,adv,4,4,4,1,0.9,"[4, 9, 21, 27]",27
FCN-VP-00045,quēntzin,,,7,4,4,0,0.4,"[7, 22, 27, 29]",27
FCN-VP-00049,quēna,,,11,4,4,0,0.4,"[11, 19, 27, 31]",27
FCN-VP-00054,chilli,chili pepper,noun,18,4,4,1,0.9,"[18, 19, 22, 27]",27
FCN-VP-00055,chachapalli,,,19,4,4,0,0.4,"[19, 22, 25, 27]",27
FCN-VP-00060,chicōntepēc,,,3,3,3,0,0.4,"[3, 27, 32]",27
FCN-VP-00067,mahtlactli,ten,num,4,3,3,1,0.9,"[4, 6, 27]",27
FCN-VP-00089,chicken,,,18,3,3,0,0.4,"[18, 27, 31]",27
FCN-VP-00091,iztātl,,,19,3,3,0,0.4,"[19, 22, 27]",27
FCN-VP-00093,pilaltepētzitzin,,,19,3,3,0,0.4,"[19, 22, 27]",27
FCN-VP-00105,mācēhualmeh,,,3,2,2,0,0.4,"[3, 27]",27
FCN-VP-00114,xoxoctīc,,,4,2,2,0,0.4,"[4, 27]",27
FCN-VP-00172,piyonacatl,,,19,2,2,0,0.4,"[19, 27]",27
FCN-VP-00173,quena,"yes, positive response.",particle,19,2,2,1,0.9,"[19, 27]",27
FCN-VP-00176,tlazcāmati,,,19,2,2,0,0.4,"[19, 27]",27
FCN-VP-00181,exchange,,,21,2,2,0,0.4,"[21, 27]",27
FCN-VP-00194,chicōntēpec,,,22,2,2,0,0.4,"[22, 27]",27
FCN-VP-01040,ahui,,,27,1,1,0,0.4,[27],27
FCN-VP-01041,chancacah,,,27,1,1,0,0.4,[27],27
FCN-VP-01042,chorizo,,,27,1,1,0,0.4,[27],27
FCN-VP-01043,cilchīlli,,,27,1,1,0,0.4,[27],27
FCN-VP-01044,cuatlacquetl,,,27,1,1,0,0.4,[27],27
FCN-VP-01045,cēmpōhualli,,,27,1,1,0,0.4,[27],27
FCN-VP-01046,ichcācuatitlan,,,27,1,1,0,0.4,[27],27
FCN-VP-01047,imīxxo,,,27,1,1,0,0.4,[27],27
FCN-VP-01048,mancuernah,,,27,1,1,0,0.4,[27],27
FCN-VP-01049,mochancacah,,,27,1,1,0,0.4,[27],27
FCN-VP-01050,nimītzhuīquilia,,,27,1,1,0,0.4,[27],27
FCN-VP-01051,piquin,,,27,1,1,0,0.4,[27],27
FCN-VP-01052,purchases,,,27,1,1,0,0.4,[27],27
FCN-VP-01053,tamachihua,,,27,1,1,0,0.4,[27],27
FCN-VP-01054,tepēnāhuac,,,27,1,1,0,0.4,[27],27
FCN-VP-01055,ticcāhua,,,27,1,1,0,0.4,[27],27
FCN-VP-01056,tichuīcaz,,,27,1,1,0,0.4,[27],27
FCN-VP-01057,tiānquiz,,,27,1,1,0,0.4,[27],27
FCN-VP-01058,tlacolula,,,27,1,1,0,0.4,[27],27
FCN-VP-01059,tlacōhuah,,,27,1,1,0,0.4,[27],27
FCN-VP-01060,tlanamācah,,,27,1,1,0,0.4,[27],27
FCN-VP-01061,tlapatlah,,,27,1,1,0,0.4,[27],27
FCN-VP-01062,tlatzquintli,,,27,1,1,0,0.4,[27],27
FCN-VP-01063,tolōntic,,,27,1,1,0,0.4,[27],27
FCN-VP-01064,tzopēlic,,,27,1,1,0,0.4,[27],27
FCN-VP-01065,xinēchmāca,,,27,1,1,0,0.4,[27],27
FCN-VP-01066,zgquoje,,,27,1,1,0,0.4,[27],27
