lesson_number,english_lesson_unit_id,english_lesson_title,english_lesson_order,spanish_lesson_unit_id,spanish_lesson_title,spanish_lesson_order,target_band
1,FCN-LSN-0010,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),10,FCN-LSN-0051,Tlamachtiliztli 1 Piltlahcuiloltzitzin (El alfabeto).,51,A1
2,FCN-LSN-0011,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,11,FCN-LSN-0052,Tlamachtiliztli 2 Tlahtlaniliztli (Preguntas),52,A1
3,FCN-LSN-0012,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),12,FCN-LSN-0053,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (¿Cómo te llamas?),53,A1
4,FCN-LSN-0013,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),13,FCN-LSN-0054,Tlamachtiliztli 4 Īxnēzcayōtl huan tlapōhualiztli (Los colores y los números),54,A2
5,FCN-LSN-0014,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),14,FCN-LSN-0055,Tlamachtiliztli 5 Cehcen inin tequiuh (Las profesiones),55,A2
6,FCN-LSN-0016,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),16,FCN-LSN-0057,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Los verbos intransitivos),57,B1
7,FCN-LSN-0017,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),17,FCN-LSN-0058,Tlamachtiliztli 7 Quēn moxeloa tōnatiuh (Cómo se divide el día),58,B1
8,FCN-LSN-0018,Tlamachtiliztli 8 Noyōllo (Possessive markers),18,FCN-LSN-0059,Tlamachtiliztli 8 Noyōllo (Marcadores posesivos),59,B1
9,FCN-LSN-0019,Tlamachtiliztli 9 Tēiīxmatcacuahuitl (The Family),19,FCN-LSN-0060,Tlamachtiliztli 9 Tēīxmatcacuahuitl (La familia),60,B1
10,FCN-LSN-0020,Tlamachtiliztli 10 Notlachiyaliz (My Appearance),20,FCN-LSN-0061,Tlamachtiliztli 10 Notlachiyaliz (Mi apariencia),61,B1
