lesson_number,lesson_title,lesson_order,proficiency_band,lesson_unit_id
1,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),10,A1,FCN-LSN-0010
2,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,11,A1,FCN-LSN-0011
3,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),12,A1,FCN-LSN-0012
4,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),13,A2,FCN-LSN-0013
5,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),14,A2,FCN-LSN-0014
6,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),16,B1,FCN-LSN-0016
7,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),17,B1,FCN-LSN-0017
8,Tlamachtiliztli 8 Noyōllo (Possessive markers),18,B1,FCN-LSN-0018
9,Tlamachtiliztli 9 Tēiīxmatcacuahuitl (The Family),19,B1,FCN-LSN-0019
10,Tlamachtiliztli 10 Notlachiyaliz (My Appearance),20,B1,FCN-LSN-0020
11,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell),21,A1,FCN-LSN-0021
12,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Future tense and indefinite verbs),22,A1,FCN-LSN-0022
13,Tlamachtiliztli 13 Tlachīhualiztli tlen quimānēxtia ācquiya quīchihua cē tlamantli (Verbs with specific object),23,A1,FCN-LSN-0023
14,Tlamachtiliztli 14 Tlachīhualiztli tlen panoc Part 1 (Past Tense Verbs Part 1),24,A2,FCN-LSN-0024
15,"Tlamachtiliztli 15 Tlachīhualiztli tlen panoc, Part 2 (Past Tense Verbs Part 2)",25,A2,FCN-LSN-0025
16,Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Part 3 (Past Tense Verbs Part 3),26,B1,FCN-LSN-0026
17,Tlamachtiliztli 17 Na nimocehuia pan cuaciyah (I Sit in the Chair),27,B1,FCN-LSN-0027
18,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (What I Like and Do Not Like),28,B1,FCN-LSN-0028
19,Tlamachtiliztli 19 Ximoquētza (Stand Up!),29,B1,FCN-LSN-0029
20,Tlamachtiliztli 20 Tlahtoltēcpānalitzli -pil huan -tzin (The Grammar of -pil and -tzin),30,A1,FCN-LSN-0030
21,Tlamachtiliztli 21 Tlen ticpiyah pan millah (What We Have in the Field),31,A1,FCN-LSN-0031
22,Tlamachtiliztli 22 Tomīllah huah totlacualiz (Our Cornfield and Our Food),32,A1,FCN-LSN-0032
23,Tlamachtiliztli 23 Tlen eltoc calihtic (What is Inside the House),33,A1,FCN-LSN-0033
24,"Tlamachtiliztli 24 Niihhuia pan āltepētl, Part 1 (I Had Gone to the City Part 1)",34,A2,FCN-LSN-0034
25,Tlamachtiliztli 25 Niihhuia pan altepētl Part 2 (I Had Gone to the City Part 2),35,A2,FCN-LSN-0035
26,Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (I Came to Buy a Tortilla Napkin),36,B1,FCN-LSN-0036
27,Tlamachtiliztli 27 Namantzin eltoc tiānquiz (It’s market day today!),37,B1,FCN-LSN-0037
28,Tlamachtiliztli 28 Nipanoyaya mochān (I Was Passing By Your House),38,B1,FCN-LSN-0038
29,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (What Illnesses Do You Know?),39,B1,FCN-LSN-0039
30,"Tlamachtiliztli 30 -zquia, -tozquia (The conditional, Part 1)",40,A1,FCN-LSN-0040
31,"Tlamachtiliztli 31 Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)",41,A1,FCN-LSN-0041
32,"Tlamachtiliztli 32 Tē- and tla-: Non-specific object markers, Part 1",42,A1,FCN-LSN-0042
