priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json,lesson_number
FCN-VP-00001,tlen,alternative spelling of tlein,pron,1,32,32,1,0.9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",13
FCN-VP-00002,huan,and,conj,2,24,24,1,0.9,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31]",13
FCN-VP-00009,tlamanēxtilli,,,12,12,12,0,0.4,"[12, 13, 14, 15, 16, 17, 19, 20, 23, 24, 25, 32]",13
FCN-VP-00012,ahāhuiltiliztli,,,6,9,9,0,0.4,"[6, 13, 14, 15, 16, 17, 20, 24, 25]",13
FCN-VP-00013,huanya,,,6,9,9,0,0.4,"[6, 7, 8, 12, 13, 24, 25, 26, 31]",13
FCN-VP-00018,yāhuatzinco,,,6,7,7,0,0.4,"[6, 7, 12, 13, 19, 22, 25]",13
FCN-VP-00019,quēmman,,,7,7,7,0,0.4,"[7, 11, 13, 19, 22, 29, 31]",13
FCN-VP-00021,each,,,10,7,7,0,0.4,"[10, 11, 13, 17, 21, 27, 29]",13
FCN-VP-00024,school,,,3,6,6,0,0.4,"[3, 6, 8, 12, 13, 23]",13
FCN-VP-00028,tlahtolpāmitl,,,6,5,5,0,0.4,"[6, 13, 24, 25, 31]",13
FCN-VP-00038,tlapōhualiztli,,,4,4,4,0,0.4,"[4, 5, 13, 31]",13
FCN-VP-00052,nonanān,,,13,4,4,0,0.4,"[13, 24, 26, 32]",13
FCN-VP-00081,nochipa,,,12,3,3,0,0.4,"[12, 13, 29]",13
FCN-VP-00083,cut,,,13,3,3,0,0.4,"[13, 15, 22]",13
FCN-VP-00084,hualiztli,,,13,3,3,0,0.4,"[13, 17, 28]",13
FCN-VP-00085,quicui,,,13,3,3,0,0.4,"[13, 22, 31]",13
FCN-VP-00086,tohhuantin,,,13,3,3,0,0.4,"[13, 19, 31]",13
FCN-VP-00155,caltlamachtihcān,,,12,2,2,0,0.4,"[12, 13]",13
FCN-VP-00158,qui,,,13,2,2,0,0.4,"[13, 26]",13
FCN-VP-00159,tlachi,,,13,2,2,0,0.4,"[13, 17]",13
FCN-VP-00428,ahachica,,,13,1,1,0,0.4,[13],13
FCN-VP-00429,cacalicān,,,13,1,1,0,0.4,[13],13
FCN-VP-00430,check,,,13,1,1,0,0.4,[13],13
FCN-VP-00431,child,,,13,1,1,0,0.4,[13],13
FCN-VP-00432,inihhuantin,,,13,1,1,0,0.4,[13],13
FCN-VP-00433,inmoconēuh,,,13,1,1,0,0.4,[13],13
FCN-VP-00434,inmohuantin,,,13,1,1,0,0.4,[13],13
FCN-VP-00435,inquimāquiliah,,,13,1,1,0,0.4,[13],13
FCN-VP-00436,mitz,,,13,1,1,0,0.4,[13],13
FCN-VP-00437,nech,,,13,1,1,0,0.4,[13],13
FCN-VP-00438,nēchmācah,,,13,1,1,0,0.4,[13],13
FCN-VP-00439,quin,,,13,1,1,0,0.4,[13],13
FCN-VP-00440,quitequih,,,13,1,1,0,0.4,[13],13
FCN-VP-00441,tech,,,13,1,1,0,0.4,[13],13
FCN-VP-00442,ticōnih,,,13,1,1,0,0.4,[13],13
FCN-VP-00443,timītzittah,,,13,1,1,0,0.4,[13],13
FCN-VP-00444,titlamih,,,13,1,1,0,0.4,[13],13
FCN-VP-00445,tiyāuh,,,13,1,1,0,0.4,[13],13
FCN-VP-00446,tēchmāca,,,13,1,1,0,0.4,[13],13
FCN-VP-00447,īmacheteh,,,13,1,1,0,0.4,[13],13
FCN-VP-00448,īmorral,,,13,1,1,0,0.4,[13],13
FCN-VP-00449,ītzonecahuil,,,13,1,1,0,0.4,[13],13
FCN-VP-00450,īāuh,,,13,1,1,0,0.4,[13],13
