construction_id,proficiency_band,domain_label,pattern_text,example_original,confidence
FCN-CXN-000001,A1,Language,The Nahuatl presented in this curriculum comes from the Huasteca region in,"The Nahuatl presented in this curriculum comes from the Huasteca region in the state of Veracruz, Mexico, where one can find a municipality called Chicontepec (Figure 1 & 2). Various historical communities of Nahuatl-speaking peoples live in this region. In the same way that the Nahuatl language continues to be important for the municipality of Chicontepec, Nahua customs and traditions influence the lives of the people who live here. The objective of this material is to serve as a revitalization tool for Nahuatl language learning.",0.5720000000000001
FCN-CXN-000002,A1,Language,Nahuatl has not been fully standardized and until the present-day various groups,"Nahuatl has not been fully standardized and until the present-day, various groups have developed their own style and variants of Nahuatl writing and teaching. While this online curriculum focuses on Nahuatl from the Huasteca area, we also introduce variants from the Mexican state of Hidalgo and Morelos. Some 1.5 million speakers of Nahuatl live in Mexico today.",0.5929
FCN-CXN-000003,A1,Language,HOW TO USE THE ONLINE CURRICULUM,HOW TO USE THE ONLINE CURRICULUM,0.6167
FCN-CXN-000004,A1,Team,Sabina Cruz de la Cruz ehua pan ce pilaltepetzin Tecomate Chicontepec Veracruz,"Sabina Cruz de la Cruz , ehua pan ce pilaltepetzin Tecomate, Chicontepec; Veracruz, nahuatlahtoa. Momachtihqui pan caltlamachtiloyan tlen Universidad Autónoma de Zacatecas (UAZ), Momachtihqui tlen Derecho. Ce tlamachtihquetl tlen Educacion Historica pan caltlamachtiloyan tlen Centro de Actualización del Magisterio de Zacatecas. Tlamachtihquetl tlen nahuatl pan Departamento tlen Antropologia pan caltlamachtiloyan tlen Tulane, New Orleans, Louisiana, Estados Unidos. Tlamachtihquetl tlen nahuatl pan Departamento tlen “Teresa Lozano Long Institute of Latin American Studies and Collections” LLILAS Benson, pan caltlamchtiloyan tlen Texas, Austin, Estados Unidos. Tlamachtihquetl huan tlatemohquetl pan Instituto de Docencia e Investigación Etnológica de Zacatecas. (IDIEZ).",0.7663
FCN-CXN-000005,A1,Team,Catalina Cruz de la Cruz euhqui pan ce tonatiuh tlen Septiembre pan,"Catalina Cruz de la Cruz , euhqui pan ce tonatiuh tlen Septiembre pan 1984 pan pilaltepetzin Tecomate, Chicontepec, tlatitlantoc Veracruz. Momachtih preescolar hasta la preparatoria pan pilaltepetzin Tecomate. Momachtih pan Caltlamachtiloyan tlen Zacatecas, Unidad Académica de Derecho. Nouhquiya tequitic quen tlamachtihquetl huan tlatehtemouhquetl pan Instituto de Docencia e Investigación Etnológica de Zacatecas (IDIEZ). Nouhquiya momachtih pan Unidad Académica de Docencia Superior, quipiya Maestría en investigaciones Humanísticas y Educativas.",0.7556
FCN-CXN-000006,A1,Resources,Many have written about Nahuatl from the Huasteca Here are a few,Many have written about Nahuatl from the Huasteca. Here are a few resources:,0.6038
FCN-CXN-000007,A1,Resources,John Sullivan and others Tlahtolxitlauhcayotl Diccionario n huatl de Chicontepec Veracruz Link,"John Sullivan and others, Tlahtolxitlauhcayotl, (Diccionario náhuatl de Chicontepec Veracruz) Link for this: https://www.academia.edu/34987634/Tlahtolxitlauhcayotl._Chicontepec_Veracruz",0.6881
FCN-CXN-000008,A1,Resources,Colonial and Modern Nahuatl Dictionary Link for this https nahuatl uoregon edu,Colonial and Modern Nahuatl Dictionary. Link for this: https://nahuatl.uoregon.edu/content/welcome-nahuatl-dictionary,0.6643
FCN-CXN-000009,A1,Units,Tlamachtiliztli Piltlahcuiloltzitzin The Alphabet,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),0.95
FCN-CXN-000010,A1,Units,Tlamachtiliztli Tlahtlaniliztli Questions,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,0.95
FCN-CXN-000011,A1,Units,Tlamachtiliztli Quēniuhqui motōcah What is your name,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),0.95
FCN-CXN-000012,A1,Units,Tlamachtiliztli xnēzcayotl huan tlapōhualiztli Colors and Numbers,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),0.95
FCN-CXN-000013,A1,Units,Tlamachtiliztli Cehcen inintequiuh The Professions,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),0.8500000000000001
FCN-CXN-000014,A1,Units,Tlamachtiliztli Tlachīhualiztli tlen ax quimānēxtia cē tlamantli Intransitive Verbs,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),0.95
FCN-CXN-000015,A1,Units,Tlamachtiliztli Quēn moxēloa tōnatiuh How to divide up the day,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),0.95
FCN-CXN-000016,A1,Units,Tlamachtiliztli Noyōllo Possessive markers,Tlamachtiliztli 8 Noyōllo (Possessive markers),0.95
FCN-CXN-000017,A1,Units,Tlamachtiliztli Tēiīxmatcacuahuitl The Family,Tlamachtiliztli 9 Tēiīxmatcacuahuitl (The Family),0.95
FCN-CXN-000018,A1,Units,Tlamachtiliztli Notlachiyaliz My Appearance,Tlamachtiliztli 10 Notlachiyaliz (My Appearance),0.95
FCN-CXN-000019,A1,Units,Tlamachtiliztli Quēmman motlahpaloa huan monāhuatihtēhua When you greet and say farewell,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell),0.95
FCN-CXN-000020,A1,Units,Tlamachtiliztli Tlachīhualiztli tlen panoz Future tense and indefinite verbs,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Future tense and indefinite verbs),0.8944000000000001
